,TBS,SegmentsNum,SegmentDelay(noSched)
187,24,3,9.512186050415039
188,24,3,9.564876556396484
189,24,3,9.575128555297852
190,24,3,9.485006332397461
191,24,3,9.624958038330078
192,24,3,9.603023529052734
193,24,3,9.636878967285156
194,24,3,9.539127349853516
195,24,3,9.58395004272461
196,24,3,9.602069854736328
197,116,3,11.536121368408203
198,24,3,9.467840194702148
199,24,3,9.48786735534668
200,24,3,9.643077850341797
201,24,3,9.584188461303711
202,24,3,9.644746780395508
203,24,3,9.550094604492188
204,24,3,9.499073028564453
205,24,3,9.563922882080078
206,24,3,9.588003158569336
207,24,3,9.567022323608398
208,24,3,9.512901306152344
209,116,3,11.522769927978516
210,24,3,9.50479507446289
211,24,3,9.470701217651367
212,24,3,9.629964828491211
213,24,3,9.60087776184082
214,24,3,9.580135345458984
215,24,3,9.535789489746094
216,24,3,9.573936462402344
217,24,3,9.494781494140625
218,24,3,9.50002670288086
219,24,3,9.479284286499023
220,24,3,9.567975997924805
221,24,3,9.488821029663086
222,24,3,9.581804275512695
223,24,3,12.109756469726562
224,24,3,9.628057479858398
225,24,3,9.55820083618164
226,24,3,9.564876556396484
227,24,3,9.591102600097656
228,24,3,9.552240371704102
229,24,3,9.602785110473633
230,24,3,9.510993957519531
231,24,3,9.60087776184082
232,24,3,9.577035903930664
233,116,3,11.495828628540039
234,24,3,9.56273078918457
235,24,3,9.58395004272461
236,24,3,9.614706039428711
237,24,3,9.609222412109375
238,24,3,9.567975997924805
239,24,3,9.588956832885742
240,24,3,9.510040283203125
241,24,3,9.476184844970703
242,24,3,9.506702423095703
243,24,3,9.532451629638672
244,24,3,9.571313858032227
245,116,3,11.511087417602539
246,24,3,9.595870971679688
247,24,3,9.5062255859375
248,24,3,9.623050689697266
249,24,3,9.510040283203125
250,24,3,9.562015533447266
251,24,3,9.589195251464844
252,24,3,9.554147720336914
253,24,3,9.614944458007812
254,24,3,9.506702423095703
255,24,3,9.617090225219727
256,24,3,9.642839431762695
257,24,3,9.588003158569336
258,24,3,9.5672607421875
259,24,3,9.595870971679688
260,24,3,9.575843811035156
261,24,3,9.47880744934082
262,24,3,9.516000747680664
263,24,3,9.576082229614258
264,24,3,9.608030319213867
265,24,3,9.596824645996094
266,24,3,9.62519645690918
267,24,3,9.599685668945312
268,24,3,9.572505950927734
269,24,3,9.602069854736328
270,24,3,9.526968002319336
271,24,3,9.48190689086914
272,24,3,9.510040283203125
273,24,3,9.48190689086914
274,24,3,9.504079818725586
275,24,3,9.605169296264648
276,24,3,9.610176086425781
277,24,3,9.608983993530273
278,24,3,9.657144546508789
279,24,1,9.61613655090332
280,24,3,9.606361389160156
281,24,3,9.584903717041016
282,24,3,9.46664810180664
283,24,3,9.523153305053711
284,24,3,9.479761123657227
285,24,3,9.547948837280273
286,24,3,9.554862976074219
287,24,3,9.575128555297852
288,24,3,9.564876556396484
289,24,3,9.647846221923828
290,24,3,9.605884552001953
291,24,3,9.596109390258789
292,24,3,9.541988372802734
293,24,3,9.546756744384766
294,24,3,9.588003158569336
295,24,3,9.506940841674805
296,24,3,9.476184844970703
297,24,3,9.563922882080078
298,24,3,9.565114974975586
299,24,3,9.631156921386719
300,24,3,9.517908096313477
301,24,3,9.620904922485352
302,24,3,9.59014892578125
303,24,3,9.533166885375977
304,24,3,9.518861770629883
305,106,3,11.505842208862305
306,24,3,9.496927261352539
307,24,3,9.551763534545898
308,24,3,9.592056274414062
309,24,3,9.553909301757812
310,24,3,9.697198867797852
311,24,3,9.657859802246094
312,24,3,9.519815444946289
313,24,3,9.620904922485352
